"cpg","seqnames","start","end","UCSC_RefGene_Group","UCSC_RefGene_Accession","UCSC_RefGene_Name","Relation_to_Island","estimate.bacon","se.bacon","pVal.fixed.bacon","pVal.random.bacon","pValQ.bacon","direction.bacon","pVal.final.bacon","fdr.bacon","GASPARONI_Estimate","GASPARONI_StdErr","GASPARONI_pValue","GASPARONI_fdr","GASPARONI_Estimate.bacon","GASPARONI_StdErr.bacon","GASPARONI_pValue.bacon","GASPARONI_fdr.bacon","LONDON_Estimate","LONDON_StdErr","LONDON_pValue","LONDON_fdr","LONDON_Estimate.bacon","LONDON_StdErr.bacon","LONDON_pValue.bacon","LONDON_fdr.bacon","MTSINAI_Estimate","MTSINAI_StdErr","MTSINAI_pValue","MTSINAI_fdr","MTSINAI_Estimate.bacon","MTSINAI_StdErr.bacon","MTSINAI_pValue.bacon","MTSINAI_fdr.bacon","ROSMAP_Estimate","ROSMAP_StdErr","ROSMAP_pValue","ROSMAP_fdr","ROSMAP_Estimate.bacon","ROSMAP_StdErr.bacon","ROSMAP_pValue.bacon","ROSMAP_fdr.bacon"
"cg22962123","chr7",27153605,27153606,"1stExon;5'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island",0.0787871727512046,0.00977908984576822,7.83830400173974e-16,1.08939585878658e-10,0.202145442278021,"++++",7.83830400173974e-16,3.53252765598406e-10,0.119490117284002,0.0305599376451866,0.000301617125327947,0.999927573044146,0.116871804588537,0.0301361141622284,0.000105261948235721,0.342254947900207,0.0741245157996228,0.0159968842406194,1.19369126839885e-05,0.065023074340107,0.0726237029370691,0.0173085195191031,2.71867361638891e-05,0.107322321889043,0.118828,0.02522278,6.49451e-06,0.05786004,0.115312790184765,0.0271361007688141,2.14321178637937e-05,0.125953289431921,0.0636192879188752,0.0146252169852232,1.57812555139432e-05,0.0985650715913436,0.0635583401629579,0.0146492228036104,1.43338823761608e-05,0.089552921421966
"cg01301319","chr7",27153580,27153581,"1stExon;5'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island",0.0552252275957785,0.00699162714699586,2.81677859600307e-15,2.81677859600307e-15,0.570195161996604,"++++",2.81677859600307e-15,6.34725846876843e-10,0.0805964561052771,0.0271448836628888,0.00473099865407343,0.999927573044146,0.0782707382214034,0.0267684221899606,0.00345570066100474,0.652814791884405,0.0551133476956942,0.0128733811445471,4.59509937524932e-05,0.0926507804282272,0.0539055790005108,0.0139289104969243,0.000108813068452658,0.164136849136859,0.0696159029187176,0.0143486284011826,3.598841691706e-06,0.046081437616779,0.0676161852273688,0.0154370702273405,1.18615198357397e-05,0.0904407591980877,0.04730149,0.01013113,3.672176e-06,0.05101331,0.0472592704801782,0.0101477592279344,3.20673063739279e-06,0.0443666743429597
"cg21806242","chr11",72532891,72532892,"Body","NM_033388","ATG16L2","Island",0.0797344395056152,0.0103791582595203,1.56418274925455e-14,1.56418274925455e-14,0.471412891563784,"++++",1.56418274925455e-14,2.34979353506765e-09,0.0748657112048115,0.0329166915327686,0.0276519691650088,0.999927573044146,0.0720454766764029,0.0324601831781098,0.0264525176307172,0.841209850608761,0.0706366171563704,0.0169784262503787,7.19098805807247e-05,0.102903854115015,0.0690437169316013,0.0183705412715391,0.000171008019586524,0.188944162189873,0.1196902,0.0237789,1.652184e-06,0.04608144,0.116376218643643,0.0255826925728074,5.38959359826396e-06,0.0880912270297868,0.07537459,0.01610564,3.485183e-06,0.05101331,0.0753074728682266,0.0161320757834308,3.03876011729434e-06,0.0443666743429597
"cg06635946","chr22",46470016,46470017,"","","","S_Shore",0.080467014249673,0.0106460135371617,4.08002888724794e-14,4.08002888724794e-14,0.863154235027609,"++++",4.08002888724794e-14,4.59691754690117e-09,0.0721228272670251,0.0249719282206866,0.005888866968151,0.999927573044146,0.0699832837427674,0.0246256025927499,0.00448467909805272,0.677247921736492,0.0929323438763702,0.0158821911877796,7.59496895133063e-08,0.0171187941923859,0.091442291409801,0.0171844224190727,1.03067094788435e-07,0.0199272483629383,0.07358791,0.02740607,0.008243216,0.4481203,0.0697684227642146,0.0294850082820836,0.0179700928186905,0.717747027625284,0.07767725,0.01943951,7.17601e-05,0.1770642,0.0775962396114479,0.0194714179947373,6.74416220502596e-05,0.164154879642348
"cg07061298","chr7",27153847,27153848,"5'UTR;TSS1500","NM_030661;NM_153631;NM_153632","HOXA3","N_Shore",0.0899697781445974,0.0121628849642082,1.39216425613163e-13,1.39216425613163e-13,0.763168772963539,"++++",1.39216425613163e-13,1.25482725226425e-08,0.0913281852997431,0.0416846703291457,0.0335608301234664,0.999927573044146,0.0877567283551545,0.0411065624033382,0.0327725020909851,0.853646082341659,0.0924399520797279,0.0180610574020764,1.70797407184837e-06,0.0405233029353022,0.0907454804030792,0.0195419407852998,3.42345681993021e-06,0.0682750302026584,0.1185012,0.0266885,1.96432e-05,0.07904731,0.114781717962179,0.0287130056785373,6.40010784697433e-05,0.170113159355163,0.07686563,0.02065463,0.0002150264,0.2630284,0.0767795558344629,0.0206885324916441,0.000206268242833804,0.252315144646927
"cg12307200","chr3",188664632,188664633,"","","","N_Shore",-0.0587008053956599,0.00798037405834883,1.90006150359222e-13,4.1572591299285e-07,0.167004541641551,"----",1.90006150359222e-13,1.37577507694033e-08,-0.0242128526234297,0.022005057221804,0.276912768535094,0.999927573044146,-0.0260982007336661,0.0216998779343748,0.229096759276303,0.96716475057026,-0.0465706430273408,0.0134748526517189,0.000834710349125698,0.230141640619829,-0.0478348412222221,0.014579698560742,0.00103468669122645,0.338974940114859,-0.05306026,0.02150807,0.01500167,0.5111613,-0.0560577637950125,0.0231396045504385,0.0154103278180845,0.70123918770804,-0.07653374,0.01192735,2.666738e-10,5.757526e-05,-0.07658344491838,0.0119469275418737,1.45229154515893e-10,3.13551923037131e-05
"cg05731218","chr2",216769199,216769200,"","","","OpenSea",-0.0594640422446143,0.00810143388954239,2.13688923028397e-13,8.89645478071297e-06,0.0859902362376967,"----",2.13688923028397e-13,1.37577507694033e-08,-0.0317277832554574,0.0205290931791493,0.129077234943786,0.999927573044146,-0.0334866737977562,0.0202443834433449,0.0981027894467085,0.925443037969063,-0.0509546711818226,0.014054867649126,0.000475235138700196,0.184369352897725,-0.0522732858465294,0.0152072708275026,0.000587354200227814,0.273959380276535,-0.03527552,0.0188122,0.06312556,0.6588589,-0.0378973099092078,0.0202392343303587,0.0611419445719144,0.839250048729801,-0.08380657,0.01285582,1.411417e-10,5.757526e-05,-0.0838601441370722,0.0128769215317209,7.39410803110147e-11,3.13551923037131e-05
"cg04874795","chr16",86477638,86477639,"","","","OpenSea",-0.0712445894988046,0.00975726097874451,2.84154939493352e-13,2.84154939493352e-13,0.454154141262793,"----",2.84154939493352e-13,1.60076909195208e-08,-0.0585422109570045,0.0302021689311862,0.0587321057615836,0.999927573044146,-0.0611298707638161,0.0297833071986157,0.0401222922328198,0.865062075405475,-0.0830755939026769,0.0169766250543809,4.25999971449223e-06,0.054867944322717,-0.0846683251409058,0.0183685923897683,4.03818399714187e-06,0.0682750302026584,-0.0900335,0.02135693,4.758206e-05,0.1049725,-0.0930099399467185,0.0229769995453518,5.16663105138117e-05,0.15777176030861,-0.05577719,0.01485225,0.0001883661,0.2455018,-0.0558390838719841,0.0148766284701794,0.000174398490713802,0.231956842572073
"cg04917446","chr17",46699073,46699074,"3'UTR","NM_024017","HOXB9","Island",0.0571652878055259,0.00785442925798607,3.38565138737952e-13,3.38565138737952e-13,0.665287783868885,"++++",3.38565138737952e-13,1.69536493223029e-08,0.0373113828766032,0.0275548112763849,0.182326417077456,0.999927573044146,0.0349505432366873,0.0271726646822719,0.198359635898096,0.961822582204176,0.0554348402395364,0.0107046825063247,1.33146134493358e-06,0.037394201690675,0.0544305368418628,0.0115823933785838,2.60900764247161e-06,0.0682750302026584,0.08107548,0.02137578,0.0002314907,0.1746666,0.0780964129953198,0.0229972794470713,0.000684038700856412,0.347300672594047,0.05919872,0.01344952,1.254178e-05,0.09025966,0.0591426717332978,0.0134715960303824,1.132591798533e-05,0.0815094227303238
"cg03672272","chr22",46470191,46470192,"","","","S_Shore",0.0574155089842654,0.00798846376216123,6.60836848130254e-13,6.60836848130254e-13,0.939846528975992,"++++",6.60836848130254e-13,2.97822646531102e-08,0.0607407072191166,0.0238718369750984,0.0143663506262211,0.999927573044146,0.0586954172534865,0.0235407680701528,0.0126543385670649,0.777841573307106,0.063852538013957,0.0125790800509916,2.0302116349902e-06,0.0457602596786069,0.0626723803747785,0.0136104787232315,4.13030404346598e-06,0.0682750302026584,0.05073822,0.01685091,0.00315593,0.3610412,0.0483897681549756,0.0181291670389314,0.00760397102533163,0.61277273903924,0.05687735,0.01355488,3.089269e-05,0.1234552,0.0568208626659274,0.0135771289681944,2.85112668672606e-05,0.113961019004318
"cg18751141","chr7",27138173,27138174,"","","","S_Shore",0.0650668754931037,0.00909547228802922,8.44292734553566e-13,8.44292734553566e-13,0.583320993342885,"++++",8.44292734553566e-13,3.45910571040844e-08,0.0250618478976437,0.0387545579569382,0.521052057947246,0.999927573044146,0.0217414369634353,0.0382170865810304,0.56942868635974,0.990852931727709,0.0592833444637499,0.014948475080037,0.000145536275835642,0.125443086793072,0.057880892377567,0.0161741479660559,0.000345432629244712,0.228997957698693,0.07187142,0.02145195,0.001069883,0.2731966,0.0688817374512907,0.0230792274637277,0.00283970478440974,0.509352561554905,0.07388387,0.01321991,3.352192e-08,0.003618716,0.0738287785884508,0.0132416091487289,2.46799907374837e-08,0.00266422351010442
"cg20864214","chr11",73054121,73054122,"Body","NM_014786","ARHGEF17","Island",0.0714084928813528,0.0100227781759155,1.043676949728e-12,1.043676949728e-12,0.586978220415866,"++++",1.043676949728e-12,3.91965924432222e-08,0.0903161453449354,0.0337904654190389,0.0103721746229432,0.999927573044146,0.08742104766445,0.0333218390458129,0.00870222223455032,0.741111648191571,0.0766084146881804,0.0154908763933008,3.45606522726197e-06,0.0540187688516451,0.0751550750131791,0.0167610224834057,7.32843293973862e-06,0.0682750302026584,0.09352308,0.02211944,4.534203e-05,0.1044714,0.0904403717261497,0.0237973511559685,0.000144440209836961,0.219147300889635,0.05501891,0.01634991,0.0008097212,0.3954622,0.0549507749203662,0.0163767467279955,0.000792461225530858,0.382691945649799
"cg17775899","chr7",27179426,27179427,"","","","Island",0.0485252201304273,0.00683039617774397,1.20929221321962e-12,1.20929221321962e-12,0.735704436441607,"++++",1.20929221321962e-12,3.96547324192529e-08,0.059649994570794,0.0239994934930212,0.0166347127061875,0.999927573044146,0.0575937672568807,0.0236666541711763,0.0149519524457661,0.793223382201257,0.0523310534229679,0.0122054781101222,4.48779939213951e-05,0.0919576614263976,0.051185946771838,0.0132062439742238,0.000106235744662185,0.162062873742172,0.06241561,0.01516516,6.986143e-05,0.1190683,0.0603020951819818,0.0163155413453707,0.000219030667668923,0.24661321099721,0.04111579,0.00990543,3.7489e-05,0.1326874,0.0410745110411643,0.00992168876415149,3.47501261577622e-05,0.122583088453688
"cg09596958","chr12",58132105,58132106,"Body;TSS200","NM_001122772;NM_014770","AGAP2","N_Shore",0.0899450134008176,0.012665187198364,1.23185500387095e-12,1.23185500387095e-12,0.608796487369806,"++++",1.23185500387095e-12,3.96547324192529e-08,0.0743000935971357,0.0461708604487471,0.114405791854203,0.999927573044146,0.0703442690965395,0.0455305353566686,0.122348431051186,0.937463270789509,0.0913211903143166,0.0214689452861456,5.09243516563453e-05,0.0935880553545283,0.0893069937528954,0.0232292522062671,0.00012075325004882,0.167556430437111,0.1300665,0.02862165,1.297992e-05,0.06636693,0.126077601670465,0.0307927983580608,4.23288666370657e-05,0.149346502304821,0.08036404,0.01872109,2.031208e-05,0.1108108,0.0802860234874943,0.0187518187807767,1.85632767783037e-05,0.101325715200725
"cg01964852","chr7",27146262,27146263,"3'UTR","NM_030661;NM_153631;NM_153632","HOXA3","Island",0.0637046864224299,0.00902068648520583,1.64044625774076e-12,1.64044625774076e-12,0.764082897916367,"++++",1.64044625774076e-12,4.9287207813821e-08,0.0515105453468637,0.033800978705043,0.134370677460094,0.999927573044146,0.048614546909625,0.0333322065272822,0.144706711093148,0.945957698717856,0.056786407545788,0.0129061378663755,2.93746166485077e-05,0.0832800855687584,0.0555755656453032,0.0139643530462746,6.89684215072869e-05,0.144013597264182,0.0836154045728267,0.0237698063776182,0.000609078058359816,0.231961514694588,0.0803026905625216,0.0255729091368298,0.00168863153739279,0.447789878076774,0.0700817460858991,0.0145135421304935,1.71105850594546e-06,0.0388863261075141,0.0700212637132848,0.0145373646458717,1.45995155986429e-06,0.0331795507054779
"cg13390284","chr1",65531864,65531865,"","","","N_Shore",0.0497607738752781,0.00707984709034452,2.08751129861196e-12,1.08038937781718e-05,0.0906411991236017,"++++",2.08751129861196e-12,5.87993221563716e-08,0.043761638676195,0.0199037665725294,0.0329700675410796,0.999927573044146,0.042056324833297,0.0196277292399046,0.0321372388166718,0.853209412643558,0.0504127484643763,0.0106974518109077,8.75733022945481e-06,0.0556020164243186,0.0494091234438494,0.011574569815515,1.96557839549468e-05,0.0942626576213016,0.0206885,0.01556579,0.1862551,0.7916859,0.0185191507930573,0.0167465618772474,0.268792345258313,0.947947105947353,0.07100365,0.01255364,2.312757e-08,0.003328852,0.0709513351394843,0.0125742455337328,1.67509138151116e-08,0.00241103161270221
