"cpg","beta_spearman_cor","beta_pVal","beta_fdr","residual_spearman_cor","residual_pVal","residual_fdr","BECon_cor_BA7","BECon_cor_BA10","BECon_cor_BA20","BECon_cor_mean"
"cg00001099",0.43339422725612,0.000229096273085682,0.00438438836910404,0.302594081110705,0.0117677163666239,0.107398306791256,NA,NA,NA,NA
"cg00002033",0.102557544757033,0.400839332071683,0.713819383719793,0.0898063573255389,0.462151110742257,0.77122032768634,0.141176470588235,0.523529411764706,0,0.22156862745098
"cg00025044",-0.0141761052246986,0.907832692908279,0.976133536331458,-0.0443916697113628,0.716624024750717,0.902638252800516,-0.0794117647058823,0.176470588235294,0.220588235294118,0.105882352941176
"cg00034336",-0.112458896602119,0.356727655221336,0.678198395709696,0.0237486298867373,0.846126427506961,0.955347715217242,0.276470588235294,-0.00588235294117647,0.00588235294117647,0.092156862745098
"cg00035969",-0.00124223602484472,0.992014614974338,0.999670573768283,0.199598100109609,0.100087437071624,0.369879779759274,0.188235294117647,0.235294117647059,0.435294117647059,0.286274509803922
"cg00041401",-0.0569967117281695,0.641075611889495,0.871550076303071,-0.184325904274753,0.129300661584387,0.424260129391378,0.223529411764706,0.220588235294118,0.432352941176471,0.292156862745098
"cg00041599",0.250164413591524,0.038420742060018,0.203841871947846,0.102813299232737,0.3996609134211,0.726673817858723,0.0147058823529412,-0.185294117647059,-0.0558823529411765,-0.0754901960784314
"cg00055359",0.179064669345999,0.140745715068372,0.437396170026066,-0.0314212641578371,0.797310690348456,0.934889777898424,-0.152941176470588,0.173529411764706,-0.297058823529412,-0.092156862745098
"cg00057966",0.0766532700036536,0.530439937155228,0.809800652938242,0.0567409572524662,0.642575863697434,0.869517339368353,0.126470588235294,-0.229411764705882,0.0764705882352941,-0.00882352941176471
"cg00064020",0.11439532334673,0.348466241937101,0.674419249113575,0.0381439532334673,0.75516371585219,0.919383024395185,0.164705882352941,0.132352941176471,-0.2,0.0323529411764706
"cg00066854",0.0869565217391304,0.476524678773726,0.778842732061109,0.0826452320058458,0.498719120280808,0.795025677931708,-0.0205882352941176,0.102941176470588,-0.279411764705882,-0.0656862745098039
"cg00087884",0.0320789185239313,0.793159705322921,0.926431393186134,-0.0654000730727074,0.592611930985305,0.855255450993039,0.297058823529412,0.197058823529412,0.117647058823529,0.203921568627451
"cg00091004",-0.198757763975155,0.101547103253323,0.370401017240211,-0.259992692729266,0.0312525460264418,0.189986081751564,0.0588235294117647,-0.205882352941176,-0.320588235294118,-0.155882352941176
"cg00091064",-0.0394227256119839,0.747222976027178,0.915018856348292,0.00738034344172452,0.951996225454968,0.987082245869131,-0.247058823529412,-0.1,0.00588235294117647,-0.113725490196078
"cg00101457",-0.147314578005115,0.226510305864804,0.549573193595653,0.077639751552795,0.525149214768281,0.812638079453722,0.0676470588235294,-0.205882352941176,-0.0441176470588235,-0.0607843137254902
"cg00106345",0.0476799415418341,0.696614498114187,0.896660042558436,0.012130069419072,0.92110597553896,0.977801025252195,-0.291176470588235,-0.273529411764706,-0.170588235294118,-0.245098039215686
"cg00109764",0.257508220679576,0.0329486262716704,0.185714685212598,0.368542199488491,0.00195550580173922,0.0305629260930159,0.370588235294118,0.332352941176471,0.205882352941176,0.302941176470588
"cg00118783",0.125429302155645,0.303699258619736,0.634523877566834,0.24183412495433,0.0455263608501588,0.23717969381798,0.391176470588235,0.344117647058824,0.235294117647059,0.323529411764706
"cg00126889",0.17274388016076,0.155488919967614,0.460694264453808,0.0944099378881988,0.439443273769753,0.754459565088697,0.123529411764706,0.120588235294118,-0.164705882352941,0.0264705882352941
"cg00135497",0.0713189623675557,0.559502129303907,0.828314477008083,0.052283522104494,0.668948961606401,0.881645552199372,-0.114705882352941,-0.452941176470588,-0.335294117647059,-0.300980392156863
"cg00142036",0.214614541468761,0.0766755649090986,0.314327916911507,0.235769090244794,0.05135738698793,0.253809695114263,0.223529411764706,0.111764705882353,0.0147058823529412,0.116666666666667
"cg00142257",0.432992327365729,0.000232458850371838,0.00442615811037951,0.382608695652174,0.0012705899451535,0.0221673622524223,-0.0617647058823529,0.173529411764706,-0.0852941176470588,0.0088235294117647
"cg00147172",0.42648885641213,0.000293583936509508,0.0053982026757214,0.301753744976251,0.0120125457929271,0.10831504632036,0.164705882352941,0.191176470588235,0.0470588235294118,0.134313725490196
"cg00153919",0.0184508586043113,0.880186725949458,0.961114024913948,0.0624040920716113,0.609700966566596,0.858988720794934,0.0294117647058823,0.158823529411765,-0.05,0.046078431372549
"cg00156001",0.0775666788454512,0.525540207590288,0.804912176147755,0.198502009499452,0.1019946403801,0.373250630308052,NA,NA,NA,NA
"cg00159523",0.52364380385637,3.89242101125871e-06,0.000180499328989824,0.315966386554622,0.00841694047034547,0.0869750515269032,0.279411764705882,0.394117647058824,0.188235294117647,0.287254901960784
"cg00162806",0.219620021921812,0.0699281122058866,0.299421347625332,0.0301059554256485,0.805629480204958,0.937502028440577,NA,NA,NA,NA
"cg00164997",0.28578735842163,0.0175823868052696,0.122132468345493,0.196090610157106,0.106290495344442,0.381162187415872,0.379411764705882,0.0617647058823529,0.0205882352941176,0.153921568627451
"cg00166216",0.407563025210084,0.000565138972486604,0.00856877649787266,0.387175739861162,0.00110031900315321,0.0199386308252545,0.235294117647059,0.214705882352941,0,0.15
"cg00171729",0.0426744610887833,0.727151001264875,0.907970507904309,0.202740226525393,0.0947747595659804,0.358367059608863,-0.182352941176471,-0.135294117647059,0.15,-0.0558823529411765
"cg00172849",0.299159663865546,0.0127965101964887,0.0964704640911315,0.207709170624772,0.0868293878368683,0.341623376756746,0.5,-0.291176470588235,0.05,0.0862745098039216
"cg00175838",-0.0273657289002558,0.823028899629147,0.939413843519481,-0.0104493971501644,0.932025381339752,0.98010294516552,-0.0147058823529412,-0.2,-0.267647058823529,-0.16078431372549
"cg00178119",0.0827183047131896,0.498338496578511,0.791727107440065,0.208695652173913,0.085316747964343,0.338732240960107,0.388235294117647,-0.0705882352941176,0.311764705882353,0.209803921568627
"cg00191458",0.0421629521373767,0.730296613659834,0.909778345346408,0.364559736938254,0.00220227203038473,0.0330428895438925,-0.135294117647059,0.114705882352941,0.126470588235294,0.0352941176470588
"cg00197322",0.239788089148703,0.0474289002837457,0.235636827767325,0.232151991231275,0.0551182136792082,0.264384168172264,0.338235294117647,0.0882352941176471,0.138235294117647,0.188235294117647
"cg00206233",-0.140628425283157,0.24846957480747,0.575669780792354,-0.228681037632444,0.0589363124306089,0.27364660106968,-0.302941176470588,-0.108823529411765,-0.141176470588235,-0.184313725490196
"cg00215182",0.00259408111070515,0.983195881730241,0.997556871076584,0.0829375228352211,0.4971975374616,0.794218711407623,-0.264705882352941,0.0382352941176471,-0.102941176470588,-0.109803921568627
"cg00222472",-0.00237486298867373,0.984625837328009,0.997871854789089,0.0400073072707344,0.743601633641239,0.91211567291965,-0.0911764705882353,-0.0882352941176471,-0.144117647058824,-0.107843137254902
"cg00233028",0.425648520277676,0.000302478445740718,0.00545479158641073,0.330069419071977,0.00582040473311015,0.0661586004663521,0.2,0.176470588235294,-0.208823529411765,0.0558823529411765
"cg00235484",-0.10076726342711,0.40914555001887,0.720105310095397,-0.0960906101571063,0.431312796270063,0.750977275488381,-0.211764705882353,0.485294117647059,-0.258823529411765,0.00490196078431375
"cg00240653",0.0813299232736573,0.505596243925023,0.797147347795585,-0.0463280964559737,0.704816461076855,0.898018527683181,0.211764705882353,-0.0911764705882353,0.102941176470588,0.0745098039215686
"cg00257775",-0.0978443551333577,0.42292097923486,0.731049121248831,-0.269492144683961,0.025430172491848,0.166182189924951,-0.117647058823529,-0.0352941176470588,0.323529411764706,0.0568627450980392
"cg00268744",-0.131713554987212,0.279962228953023,0.609109002324224,-0.0540007307270734,0.658738983585534,0.877414799995805,-0.0941176470588235,0.402941176470588,0.361764705882353,0.223529411764706
"cg00287773",0.0803434417245159,0.510786110818269,0.79812911197438,-0.0244793569601754,0.84144910167013,0.954282172574924,0.376470588235294,0.164705882352941,0.364705882352941,0.301960784313726
"cg00291213",0.104676653270004,0.391137296045381,0.708428777144483,0.0576543660942638,0.637224445945091,0.869517339368353,-0.329411764705882,-0.238235294117647,-0.0882352941176471,-0.218627450980392
"cg00291478",-0.0577639751552795,0.636583516737918,0.869881519593418,-0.376434051881622,0.00153872924589796,0.0258823919343644,-0.355882352941176,-0.347058823529412,-0.214705882352941,-0.305882352941176
